,Unnamed: 0,Date,Close,Open,High,Low,Volume,Change,Kospi_Close,Kospi_Volume,Dow_Close,Dow_Volume,SP_Close,SSEC_Close,SSEC_Volume,EU_Close,EU_Volume,DE_Close,DE_Volume,FR_Close,FR_Volume,Gold_Close,Gold_Volume,Gas_Close,Gas_Volume,Oil_Close,oil_Volume,HG_Close,HG_Volume,JP_Close,JP_Volume,Bond_1m_Close,Bond_6m_Close,Bond_1y_Close,Bond_5y_Close,Bond_10y_Close,Bond_30y_Close,usd_krw_Close,usd_rub_Close,usd_eur_Close,VIX_Close
0,0,2018-02-20,0.3492,0.3791,0.3895,0.3472,17320000.0,-0.0789,2415.12,421490000.0,24964.75,421510000.0,2716.26,3268.56,13870000000.0,3435.08,37010000.0,12487.9,89820000.0,5289.86,78040000.0,1332.1,255620.0,2.616,147860.0,61.9,50210.0,3.342,300.0,21925.1,696270000.0,1.372,1.831,2.0,2.6463,2.891,3.155,1074.91,56.5621,0.8105,20.6
1,1,2018-02-21,0.3344,0.3483,0.3559,0.3265,16719999.999999998,-0.0424,2429.65,432280000.0,24797.78,456070000.0,2701.33,3268.56,13870000000.0,3430.16,34090000.0,12470.49,85960000.0,5302.17,75200000.0,1332.1,255620.0,2.659,125220.0,61.68,466920.0,3.342,300.0,21970.81,803490000.0,1.393,1.85,2.008,2.6858,2.952,3.228,1076.02,56.7495,0.8141,20.02
2,2,2018-02-22,0.3137,0.3344,0.3533,0.3072,13540000.0,-0.0619,2414.28,349490000.0,24962.48,378900000.0,2703.96,3268.56,13870000000.0,3431.99,44120000.0,12461.91,107400000.0,5309.23,90240000.0,1332.7,206240.0,2.634,60420.0,62.77,592600.0,3.367,340.0,21736.44,796710000.0,1.34,1.847,2.01,2.6586,2.919,3.204,1080.72,56.5174,0.811,18.72
3,3,2018-02-23,0.326,0.3137,0.3361,0.3054,12200000.0,0.0393,2451.52,300580000.0,25309.99,335420000.0,2747.3,3289.02,14580000000.0,3441.46,37600000.0,12483.79,100960000.0,5317.37,70610000.0,1330.3,167850.0,2.625,67000.0,63.55,460600.0,3.343,290.0,21892.78,665760000.0,1.37,1.847,2.005,2.62,2.866,3.155,1077.0,56.5174,0.8135,16.49
4,4,2018-02-24,0.2991,0.326,0.3328,0.2925,11080000.0,-0.0825999999999999,2451.52,300580000.0,25309.99,335420000.0,2747.3,3289.02,14580000000.0,3441.46,37600000.0,12483.79,100960000.0,5317.37,70610000.0,1330.3,167850.0,2.625,67000.0,63.55,460600.0,3.343,290.0,21892.78,665760000.0,1.37,1.847,2.005,2.62,2.866,3.155,1077.0,56.5174,0.8135,16.49
5,5,2018-02-25,0.3235,0.2991,0.3365,0.2969,12940000.0,0.0817,2451.52,300580000.0,25309.99,335420000.0,2747.3,3289.02,14580000000.0,3441.46,37600000.0,12483.79,100960000.0,5317.37,70610000.0,1330.3,167850.0,2.625,67000.0,63.55,460600.0,3.343,290.0,21892.78,665760000.0,1.3776,1.8569,2.01,2.625,2.875,3.161,1077.0,56.5174,0.8135,16.49
6,6,2018-02-26,0.3244,0.3235,0.3318,0.3046,12400000.0,0.0026,2457.65,321260000.0,25709.27,473360000.0,2779.6,3329.57,18860000000.0,3463.18,31480000.0,12527.04,80730000.0,5344.26,69980000.0,1332.8,247240.0,2.639,13760.0,63.91,469850.0,3.3365,320.0,22153.63,665570000.0,1.362,1.852,2.015,2.6116,2.864,3.156,1070.67,55.7134,0.8119,15.8
7,7,2018-02-27,0.3302,0.3244,0.3358,0.3193,8130000.000000001,0.018,2456.14,271230000.0,25410.03,438390000.0,2744.28,3292.07,17420000000.0,3458.03,38100000.0,12490.73,92640000.0,5343.93,78600000.0,1318.6,334720.0,2.683,122830.0,63.01,562670.0,3.3065,16680.0,22389.86,765760000.0,1.37,1.873,2.025,2.6653,2.901,3.163,1081.45,56.2801,0.8175,18.59
8,8,2018-02-28,0.3066,0.3302,0.3351,0.3056,9780000.0,-0.0713,2427.36,367560000.0,25029.2,451870000.0,2713.83,3259.41,15100000000.0,3438.96,40370000.0,12435.85,96280000.0,5320.49,87000000.0,1317.9,263800.0,2.667,133150.0,61.64,768410.0,3.2505,3320.0,22068.24,914900000.0,1.507,1.855,2.07,2.6451,2.864,3.128,1085.21,56.3291,0.82,19.85
9,9,2018-03-01,0.3024,0.3056,0.3122,0.2869,18550000.0,-0.0139999999999999,2427.36,367560000.0,24608.98,506280000.0,2677.67,3273.75,15910000000.0,3399.16,41800000.0,12190.94,117200000.0,5262.56,116250000.0,1305.2,421740.0,2.698,206390.0,60.99,812510.0,3.2385,1730.0,21724.47,930670000.0,1.49,1.839,2.041,2.5847,2.811,3.092,1082.84,56.8218,0.8152,22.47
